Date	BITCOIN
2017-04-11	1224
2017-04-10	1210
2017-04-09	1211
2017-04-08	1184.5
2017-04-07	1194
2017-04-06	1192.3
2017-04-05	1133
2017-04-04	1144
2017-04-03	1152.6
2017-04-02	1114
2017-04-01	1092
2017-03-31	1089
2017-03-30	1042.3
2017-03-29	1043.3
2017-03-28	1045.4
2017-03-27	1042.1
2017-03-26	973.1
2017-03-25	963.7
2017-03-24	934.9
2017-03-23	1025.1
2017-03-22	1034.6
2017-03-21	1114.4
2017-03-20	1045
2017-03-19	1019.5
2017-03-18	970
2017-03-17	1069.6
2017-03-16	1175.1
2017-03-15	1263
2017-03-14	1247.4
2017-03-13	1245.5
2017-03-12	1235.6
2017-03-11	1188.1
2017-03-10	1109
2017-03-09	1197.3
2017-03-08	1150.2
2017-03-07	1237.4
2017-03-06	1285
2017-03-05	1279
2017-03-04	1274
2017-03-03	1292.9
2017-03-02	1269.2
2017-03-01	1230
2017-02-28	1195.1
2017-02-27	1195.8
2017-02-26	1184.9
2017-02-25	1158
2017-02-24	1186.9
2017-02-23	1186.9
2017-02-22	1128.7
2017-02-21	1128.3
2017-02-20	1089.8
2017-02-19	1059.9
2017-02-18	1062.2
2017-02-17	1057.3
2017-02-16	1038.9
2017-02-15	1014.5
2017-02-14	1013.9
2017-02-13	1002.8
2017-02-12	1010
2017-02-11	1018.7
2017-02-10	1002
2017-02-09	994.2
2017-02-08	1056.7
2017-02-07	1054
2017-02-06	1022.6
2017-02-05	1016.3
2017-02-04	1035.5
2017-02-03	1018
2017-02-02	1008.4
2017-02-01	992.8
2017-01-31	970
2017-01-30	923.2
2017-01-29	916.5
2017-01-28	925
2017-01-27	922.6
2017-01-26	917
2017-01-25	896
2017-01-24	887
2017-01-23	910.7
2017-01-22	931.2
2017-01-21	925.1
2017-01-20	894.3
2017-01-19	902.9
2017-01-18	888
2017-01-17	906
2017-01-16	834.4
2017-01-15	833.3
2017-01-14	828
2017-01-13	831.4
2017-01-12	812.3
2017-01-11	795.8
2017-01-10	907
2017-01-09	902.7
2017-01-08	923.3
2017-01-07	909
2017-01-06	895.7
2017-01-05	1007
2017-01-04	1130.3
2017-01-03	1020.7
2017-01-02	1011.5
2017-01-01	993
2016-12-31	973.4
2016-12-30	960.8
2016-12-29	970.7
2016-12-28	982.2
2016-12-27	925.2
2016-12-26	902.1
2016-12-25	896.1
2016-12-24	891.5
2016-12-23	917.3
2016-12-22	856
2016-12-21	834.5
2016-12-20	799
2016-12-19	790.8
2016-12-18	790.7
2016-12-17	788.6
2016-12-16	781
2016-12-15	776.2
2016-12-14	777.7
2016-12-13	776.2
2016-12-12	778.9
2016-12-11	771
2016-12-10	775.9
2016-12-09	773.2
2016-12-08	767.9
2016-12-07	764.3
2016-12-06	759.8
2016-12-05	752
2016-12-04	768
2016-12-03	767
2016-12-02	769.3
2016-12-01	754
2016-11-30	742.7
2016-11-29	732.4
2016-11-28	729.8
2016-11-27	729.2
2016-11-26	735.7
2016-11-25	739.7
2016-11-24	738
2016-11-23	741.5
2016-11-22	746.7
2016-11-21	736.4
2016-11-20	732
2016-11-19	750.8
2016-11-18	748.5
2016-11-17	730.7
2016-11-16	739.8
2016-11-15	712.3
2016-11-14	708.3
2016-11-13	704
2016-11-12	704.5
2016-11-11	716.9
2016-11-10	712.9
2016-11-09	721
2016-11-08	711.2
2016-11-07	706.4
2016-11-06	717
2016-11-05	707
2016-11-04	706.3
2016-11-03	690
2016-11-02	744.6
2016-11-01	730.7
2016-10-31	696.9
2016-10-30	697.4
2016-10-29	714.3
2016-10-28	690
2016-10-27	691.2
2016-10-26	674
2016-10-25	654.3
2016-10-24	650
2016-10-23	651
2016-10-22	652.8
2016-10-21	630.8
2016-10-20	628
2016-10-19	629.8
2016-10-18	635.1
2016-10-17	639.6
2016-10-16	641.9
2016-10-15	638.2
2016-10-14	638
2016-10-13	635.7
2016-10-12	635.8
2016-10-11	642.1
2016-10-10	618.7
2016-10-09	617.4
2016-10-08	619.5
2016-10-07	618
2016-10-06	611.9
2016-10-05	613.2
2016-10-04	610.3
2016-10-03	613
2016-10-02	612.4
2016-10-01	615.7
2016-09-30	609
2016-09-29	606
2016-09-28	605
2016-09-27	605.7
2016-09-26	607.1
2016-09-25	601.7
2016-09-24	603.7
2016-09-23	603
2016-09-22	596.2
2016-09-21	597
2016-09-20	605.6
2016-09-19	608.6
2016-09-18	611.4
2016-09-17	607.9
2016-09-16	607.9
2016-09-15	605.4
2016-09-14	608.4
2016-09-13	608.6
2016-09-12	606.7
2016-09-11	607.9
2016-09-10	623.7
2016-09-09	622.1
2016-09-08	628
2016-09-07	615.2
2016-09-06	613
2016-09-05	605.7
2016-09-04	611.9
2016-09-03	600.9
2016-09-02	576.2
2016-09-01	573
2016-08-31	572.9
2016-08-30	575
2016-08-29	573.2
2016-08-28	575.4
2016-08-27	570.8
2016-08-26	579.3
2016-08-25	575.6
2016-08-24	578.5
2016-08-23	582.4
2016-08-22	585.2
2016-08-21	581.3
2016-08-20	581.9
2016-08-19	573.7
2016-08-18	574.1
2016-08-17	574.5
2016-08-16	579
2016-08-15	567.8
2016-08-14	575
2016-08-13	586.5
2016-08-12	587.7
2016-08-11	587.9
2016-08-10	594.9
2016-08-09	586.5
2016-08-08	591.5
2016-08-07	595.1
2016-08-06	591.7
2016-08-05	583
2016-08-04	587.5
2016-08-03	573.4
2016-08-02	537.5
2016-08-01	605.2
2016-07-31	627
2016-07-30	655.9
2016-07-29	657
2016-07-28	657.4
2016-07-27	657.3
2016-07-26	654.1
2016-07-25	657.8
2016-07-24	661
2016-07-23	657.5
2016-07-22	654.7
2016-07-21	667.3
2016-07-20	666.9
2016-07-19	674
2016-07-18	675.5
2016-07-17	680
2016-07-16	666.3
2016-07-15	667.5
2016-07-14	661.7
2016-07-13	655.3
2016-07-12	666.6
2016-07-11	651
2016-07-10	652.4
2016-07-09	657.6
2016-07-08	667.3
2016-07-07	642
2016-07-06	678.8
2016-07-05	669.9
2016-07-04	682
2016-07-03	663.5
2016-07-02	705
2016-07-01	678.2
2016-06-30	673.5
2016-06-29	639.4
2016-06-28	648.4
2016-06-27	657.9
2016-06-26	638.6
2016-06-25	673.7
2016-06-24	670
2016-06-23	631.1
2016-06-22	604.5
2016-06-21	667.7
2016-06-20	703.1
2016-06-19	768.8
2016-06-18	759
2016-06-17	752.3
2016-06-16	769.8
2016-06-15	698.8
2016-06-14	685
2016-06-13	706
2016-06-12	677.9
2016-06-11	609.5
2016-06-10	580.3
2016-06-09	577.5
2016-06-08	583.2
2016-06-07	579.7
2016-06-06	586.8
2016-06-05	575.2
2016-06-04	576.3
2016-06-03	571.3
2016-06-02	537.9
2016-06-01	534.8
2016-05-31	531.3
2016-05-30	532.5
2016-05-29	525.2
2016-05-28	523.3
2016-05-27	471.3
2016-05-26	455
2016-05-25	451.5
2016-05-24	447
2016-05-23	445.7
2016-05-22	442.5
2016-05-21	446.3
2016-05-20	445.6
2016-05-19	438.4
2016-05-18	455.6
2016-05-17	454.2
2016-05-16	455.7
2016-05-15	461.5
2016-05-14	458.9
2016-05-13	458
2016-05-12	456.5
2016-05-11	454.4
2016-05-10	452.8
2016-05-09	464.2
2016-05-08	462.8
2016-05-07	461.9
2016-05-06	462.3
2016-05-05	450
2016-05-04	448.7
2016-05-03	452.2
2016-05-02	446.4
2016-05-01	457
2016-04-30	454
2016-04-29	458.8
2016-04-28	451.7
2016-04-27	445.3
2016-04-26	470.6
2016-04-25	466.2
2016-04-24	464.5
2016-04-23	455.7
2016-04-22	448.4
2016-04-21	452.3
2016-04-20	443
2016-04-19	437.1
2016-04-18	431
2016-04-17	431
2016-04-16	433.4
2016-04-15	430.9
2016-04-14	426.3
2016-04-13	425.6
2016-04-12	427.8
2016-04-11	423.9
2016-04-10	423.4
2016-04-09	419.5
2016-04-08	419.5
2016-04-07	422
2016-04-06	421.5
2016-04-05	422.4
2016-04-04	419.5
2016-04-03	420.2
2016-04-02	420
2016-04-01	417.7
2016-03-31	416
2016-03-30	412.8
2016-03-29	416.4
2016-03-28	423
2016-03-27	425.3
2016-03-26	417
2016-03-25	416.4
2016-03-24	413
2016-03-23	417.5
2016-03-22	416.7
2016-03-21	412
2016-03-20	411.3
2016-03-19	410.2
2016-03-18	409.6
2016-03-17	418.4
2016-03-16	416.1
2016-03-15	415.4
2016-03-14	415
2016-03-13	412.5
2016-03-12	410.6
2016-03-11	419.4
2016-03-10	416
2016-03-09	412.8
2016-03-08	411.2
2016-03-07	412.2
2016-03-06	403.2
2016-03-05	396.1
2016-03-04	407.4
2016-03-03	418.8
2016-03-02	420.4
2016-03-01	433.1
2016-02-29	436.4
2016-02-28	433.7
2016-02-27	433.1
2016-02-26	430.9
2016-02-25	423.5
2016-02-24	423.9
2016-02-23	420
2016-02-22	437.5
2016-02-21	438.6
2016-02-20	437.5
2016-02-19	420.7
2016-02-18	421.2
2016-02-17	415.2
2016-02-16	407.4
2016-02-15	399
2016-02-14	406.6
2016-02-13	391
2016-02-12	382
2016-02-11	378.2
2016-02-10	378.4
2016-02-09	372.7
2016-02-08	371.1
2016-02-07	377.5
2016-02-06	375.4
2016-02-05	384.5
2016-02-04	388
2016-02-03	368.9
2016-02-02	372.9
2016-02-01	371.3
2016-01-31	368
2016-01-30	378.5
2016-01-29	378.7
2016-01-28	379.6
2016-01-27	394.8
2016-01-26	391.5
2016-01-25	391.4
2016-01-24	403
2016-01-23	387.5
2016-01-22	382.9
2016-01-21	409.4
2016-01-20	418.5
2016-01-19	375.3
2016-01-18	384.9
2016-01-17	378.5
2016-01-16	388.7
2016-01-15	357.5
2016-01-14	430
2016-01-13	432.8
2016-01-12	434
2016-01-11	449.2
2016-01-10	450
2016-01-09	450.4
2016-01-08	454.4
2016-01-07	459.1
2016-01-06	430.9
2016-01-05	433.3
2016-01-04	433.9
2016-01-03	431.9
2016-01-02	435.4
2016-01-01	435.7
2015-12-31	430.4
2015-12-30	428
2015-12-29	433.9
2015-12-28	421.9
2015-12-27	424.7
2015-12-26	419.4
2015-12-25	455.8
2015-12-24	455.7
2015-12-23	442.4
2015-12-22	433.9
2015-12-21	436.8
2015-12-20	442.2
2015-12-19	461.3
2015-12-18	463.2
2015-12-17	455.5
2015-12-16	454
2015-12-15	464.3
2015-12-14	444
2015-12-13	433.8
2015-12-12	436.9
2015-12-11	453
2015-12-10	415.7
2015-12-09	418.4
2015-12-08	418.9
2015-12-07	394.7
2015-12-06	387.5
2015-12-05	388
2015-12-04	364
2015-12-03	361.8
2015-12-02	360
2015-12-01	362.7
2015-11-30	376.9
2015-11-29	372.2
2015-11-28	357.2
2015-11-27	358.2
2015-11-26	352.6
2015-11-25	329
2015-11-24	321
2015-11-23	323
2015-11-22	323.7
2015-11-21	327
2015-11-20	322.4
2015-11-19	326.4
2015-11-18	335.5
2015-11-17	336.5
2015-11-16	332.9
2015-11-15	322.9
2015-11-14	334.7
2015-11-13	338.1
2015-11-12	336.5
2015-11-11	313.2
2015-11-10	337.1
2015-11-09	379.5
2015-11-08	373.8
2015-11-07	384.8
2015-11-06	374.1
2015-11-05	387.2
2015-11-04	410
2015-11-03	404.1
2015-11-02	365.2
2015-11-01	329.5
2015-10-31	314.9
2015-10-30	329.1
2015-10-29	316.1
2015-10-28	304.1
2015-10-27	295.6
2015-10-26	287.1
2015-10-25	285
2015-10-24	284.3
2015-10-23	278.8
2015-10-22	275.8
2015-10-21	268.8
2015-10-20	271.1
2015-10-19	265.2
2015-10-18	265
2015-10-17	272.9
2015-10-16	263.4
2015-10-15	255
2015-10-14	253.3
2015-10-13	251
2015-10-12	246.4
2015-10-11	249
2015-10-10	246.1
2015-10-09	244.4
2015-10-08	242.9
2015-10-07	244
2015-10-06	246.6
2015-10-05	240.9
2015-10-04	239.9
2015-10-03	239.9
2015-10-02	238.3
2015-10-01	238.3
2015-09-30	237.1
2015-09-29	236.9
2015-09-28	240
2015-09-27	233.6
2015-09-26	234.7
2015-09-25	235.9
2015-09-24	235.3
2015-09-23	230.3
2015-09-22	231.3
2015-09-21	227.3
2015-09-20	232.2
2015-09-19	232.9
2015-09-18	233.8
2015-09-17	233.3
2015-09-16	229.7
2015-09-15	230.6
2015-09-14	231
2015-09-13	230.8
2015-09-12	236.5
2015-09-11	240.9
2015-09-10	238.5
2015-09-09	238.8
2015-09-08	244.1
2015-09-07	241.3
2015-09-06	241.3
2015-09-05	236
2015-09-04	231.4
2015-09-03	227.3
2015-09-02	230
2015-09-01	228.2
2015-08-31	230.8
2015-08-30	229.4
2015-08-29	230.6
2015-08-28	231.6
2015-08-27	225.8
2015-08-26	226.8
2015-08-25	223.7
2015-08-24	211.2
2015-08-23	229.2
2015-08-22	231.1
2015-08-21	232.9
2015-08-20	235.6
2015-08-19	227.3
2015-08-18	222
2015-08-17	257.3
2015-08-16	259.2
2015-08-15	262.5
2015-08-14	266.2
2015-08-13	264.7
2015-08-12	266.9
2015-08-11	272
2015-08-10	265.1
2015-08-09	267.6
2015-08-08	262
2015-08-07	279.9
2015-08-06	279.6
2015-08-05	282.8
2015-08-04	285.5
2015-08-03	281
2015-08-02	282.6
2015-08-01	281.5
2015-07-31	285.2
2015-07-30	288.5
2015-07-29	290.2
2015-07-28	295.8
2015-07-27	294.2
2015-07-26	293.9
2015-07-25	289.7
2015-07-24	289.1
2015-07-23	277.4
2015-07-22	277.9
2015-07-21	277.3
2015-07-20	280
2015-07-19	275.6
2015-07-18	277.7
2015-07-17	280.6
2015-07-16	279.4
2015-07-15	285.7
2015-07-14	287.5
2015-07-13	293.1
2015-07-12	312.2
2015-07-11	294.2
2015-07-10	286.7
2015-07-09	269.8
2015-07-08	271
2015-07-07	266.2
2015-07-06	269.9
2015-07-05	271.7
2015-07-04	260.6
2015-07-03	257
2015-07-02	254.9
2015-07-01	259
2015-06-30	263.8
2015-06-29	257.5
2015-06-28	249.1
2015-06-27	251.6
2015-06-26	243
2015-06-25	242.4
2015-06-24	240
2015-06-23	244.5
2015-06-22	247.5
2015-06-21	244.7
2015-06-20	246.1
2015-06-19	246.3
2015-06-18	249.3
2015-06-17	250.3
2015-06-16	251.9
2015-06-15	237
2015-06-14	233.6
2015-06-13	233.5
2015-06-12	229.5
2015-06-11	229.7
2015-06-10	228.7
2015-06-09	229.2
2015-06-08	229.1
2015-06-07	223.9
2015-06-06	225.5
2015-06-05	225
2015-06-04	224.6
2015-06-03	225.9
2015-06-02	225.9
2015-06-01	223.6
2015-05-31	230.2
2015-05-30	233.6
2015-05-29	236.9
2015-05-28	237.3
2015-05-27	237.4
2015-05-26	236.8
2015-05-25	237.4
2015-05-24	240.8
2015-05-23	239.4
2015-05-22	240.4
2015-05-21	235.8
2015-05-20	234.5
2015-05-19	232.6
2015-05-18	234
2015-05-17	237.1
2015-05-16	236.7
2015-05-15	237.8
2015-05-14	237.5
2015-05-13	236.3
2015-05-12	242
2015-05-11	242.9
2015-05-10	241.6
2015-05-09	242.5
2015-05-08	244.5
2015-05-07	238
2015-05-06	230
2015-05-05	236.8
2015-05-04	239.8
2015-05-03	240.8
2015-05-02	235.9
2015-05-01	233.1
2015-04-30	236.8
2015-04-29	225.6
2015-04-28	225.6
2015-04-27	227.6
2015-04-26	221.3
2015-04-25	227.1
2015-04-24	231.5
2015-04-23	236
2015-04-22	234
2015-04-21	235.9
2015-04-20	225.4
2015-04-19	224
2015-04-18	224
2015-04-17	223.6
2015-04-16	229.4
2015-04-15	224.4
2015-04-14	221.1
2015-04-13	225.7
2015-04-12	237.6
2015-04-11	237.9
2015-04-10	236.8
2015-04-09	244.7
2015-04-08	246.6
2015-04-07	254.3
2015-04-06	256.9
2015-04-05	261.5
2015-04-04	254.4
2015-04-03	254.8
2015-04-02	254.4
2015-04-01	247.9
2015-03-31	245.5
2015-03-30	248.8
2015-03-29	243.7
2015-03-28	253.5
2015-03-27	247.8
2015-03-26	249.9
2015-03-25	246.9
2015-03-24	246.1
2015-03-23	267.5
2015-03-22	269.5
2015-03-21	261.9
2015-03-20	263.3
2015-03-19	263
2015-03-18	258.5
2015-03-17	286.7
2015-03-16	292.4
2015-03-15	288
2015-03-14	284
2015-03-13	284
2015-03-12	296
2015-03-11	297
2015-03-10	293.5
2015-03-09	290.2
2015-03-08	275.5
2015-03-07	276.9
2015-03-06	273.2
2015-03-05	276.9
2015-03-04	273.4
2015-03-03	283.3
2015-03-02	276.7
2015-03-01	260.2
2015-02-28	255.6
2015-02-27	254.4
2015-02-26	237.1
2015-02-25	238.2
2015-02-24	239.9
2015-02-23	239.5
2015-02-22	236.8
2015-02-21	246
2015-02-20	245.3
2015-02-19	240.9
2015-02-18	237.5
2015-02-17	244.8
2015-02-16	234.7
2015-02-15	235.5
2015-02-14	256.7
2015-02-13	236.5
2015-02-12	223.2
2015-02-11	219.8
2015-02-10	220.9
2015-02-09	221.1
2015-02-08	224
2015-02-07	229
2015-02-06	223.2
2015-02-05	216.8
2015-02-04	227.1
2015-02-03	228.6
2015-02-02	237.8
2015-02-01	229
2015-01-31	218.4
2015-01-30	229.1
2015-01-29	235
2015-01-28	236.1
2015-01-27	263.6
2015-01-26	274.5
2015-01-25	254.5
2015-01-24	240
2015-01-23	235
2015-01-22	226.3
2015-01-21	225.5
2015-01-20	218
2015-01-19	213.2
2015-01-18	209.9
2015-01-17	201.2
2015-01-16	206.7
2015-01-15	217.7
2015-01-14	183.2
2015-01-13	229.8
2015-01-12	267.6
2015-01-11	266.2
2015-01-10	275
2015-01-09	292.8
2015-01-08	285.6
2015-01-07	297
2015-01-06	285.4
2015-01-05	273.2
2015-01-04	258.8
2015-01-03	282
2015-01-02	315.1
2015-01-01	313.9
2014-12-31	317
2014-12-30	308.8
2014-12-29	311.9
2014-12-28	317.5
2014-12-27	315.9
2014-12-26	328.5
2014-12-25	319
2014-12-24	322.8
2014-12-23	332.9
2014-12-22	329
2014-12-21	317.2
2014-12-20	329.1
2014-12-19	315.7
2014-12-18	308.3
2014-12-17	318.2
2014-12-16	330.6
2014-12-15	347.2
2014-12-14	352.7
2014-12-13	350.9
2014-12-12	352.8
2014-12-11	350
2014-12-10	346.9
2014-12-09	353.9
2014-12-08	363.3
2014-12-07	374.4
2014-12-06	372.8
2014-12-05	378.4
2014-12-04	370.3
2014-12-03	375.7
2014-12-02	382
2014-12-01	377.6
2014-11-30	376.7
2014-11-29	374.5
2014-11-28	375.6
2014-11-27	369.6
2014-11-26	367.9
2014-11-25	375.8
2014-11-24	373.2
2014-11-23	360.6
2014-11-22	346.4
2014-11-21	349.3
2014-11-20	355.9
2014-11-19	379.2
2014-11-18	370
2014-11-17	387.6
2014-11-16	388.2
2014-11-15	376.5
2014-11-14	399.1
2014-11-13	419.4
2014-11-12	417.9
2014-11-11	367
2014-11-10	368
2014-11-09	360
2014-11-08	345
2014-11-07	341.5
2014-11-06	348.5
2014-11-05	337.5
2014-11-04	326.9
2014-11-03	323.6
2014-11-02	322.5
2014-11-01	327.2
2014-10-31	337
2014-10-30	343.9
2014-10-29	333.2
2014-10-28	353.1
2014-10-27	350.6
2014-10-26	350
2014-10-25	347.4
2014-10-24	356.1
2014-10-23	356
2014-10-22	380
2014-10-21	382.8
2014-10-20	381
2014-10-19	386.3
2014-10-18	390
2014-10-17	380.3
2014-10-16	379.3
2014-10-15	393.5
2014-10-14	397.9
2014-10-13	383.4
2014-10-12	372
2014-10-11	361.3
2014-10-10	359.5
2014-10-09	363.5
2014-10-08	350
2014-10-07	331
2014-10-06	323.8
2014-10-05	322.5
2014-10-04	328.7
2014-10-03	357.7
2014-10-02	371.7
2014-10-01	383
2014-09-30	387.1
2014-09-29	369.6
2014-09-28	374.7
2014-09-27	397.3
2014-09-26	403
2014-09-25	409.1
2014-09-24	420.4
2014-09-23	429.1
2014-09-22	397.7
2014-09-21	400.7
2014-09-20	411.6
2014-09-19	395.3
2014-09-18	427.2
2014-09-17	456.8
2014-09-16	465.1
2014-09-15	469.9
2014-09-14	476.5
2014-09-13	478.1
2014-09-12	471.8
2014-09-11	477.1
2014-09-10	477.3
2014-09-09	472.7
2014-09-08	470.4
2014-09-07	479.7
2014-09-06	481.3
2014-09-05	477.6
2014-09-04	489.2
2014-09-03	474
2014-09-02	476.8
2014-09-01	485.8
2014-08-31	483.4
2014-08-30	499
2014-08-29	507.5
2014-08-28	507.8
2014-08-27	511
