Date	ETHEREUM
2016-09-09	11.72
2016-09-08	11.39
2016-09-07	11.59
2016-09-06	11.7
2016-09-05	11.75
2016-09-04	11.71
2016-09-03	11.85
2016-09-02	12.08
2016-09-01	12.21
2016-08-31	11.55
2016-08-30	11.21
2016-08-29	10.95
2016-08-28	10.99
2016-08-27	11.19
2016-08-26	11.26
2016-08-25	11.35
2016-08-24	11.01
2016-08-23	11.01
2016-08-22	11.07
2016-08-21	11.14
2016-08-20	11.28
2016-08-19	10.71
2016-08-18	10.77
2016-08-17	10.77
2016-08-16	11.17
2016-08-15	11.21
2016-08-14	11.21
2016-08-13	11.56
2016-08-12	11.78
2016-08-11	11.68
2016-08-10	12.22
2016-08-09	12.22
2016-08-08	11.29
2016-08-07	10.98
2016-08-06	10.95
2016-08-05	11.05
2016-08-04	11.21
2016-08-03	10.42
2016-08-02	8.3
2016-08-01	11.04
2016-07-31	11.86
2016-07-30	12.57
2016-07-29	12.87
2016-07-28	12.87
2016-07-27	13.05
2016-07-26	12.08
