Date	ETHEREUM
2016-11-02	10.82
2016-11-01	10.75
2016-10-31	10.91
2016-10-30	11.22
2016-10-29	10.39
2016-10-28	11.08
2016-10-27	11.43
2016-10-26	11.5
2016-10-25	11.38
2016-10-24	11.93
2016-10-23	11.95
2016-10-22	12.06
2016-10-21	12.07
2016-10-20	12.05
2016-10-19	11.98
2016-10-18	12.5
2016-10-17	11.98
2016-10-16	11.93
2016-10-15	11.96
2016-10-14	11.9
2016-10-13	12.02
2016-10-12	11.77
2016-10-11	11.75
2016-10-10	11.74
2016-10-09	12.06
2016-10-08	12.24
2016-10-07	12.68
2016-10-06	12.87
2016-10-05	13.09
2016-10-04	13.32
2016-10-03	13.45
2016-10-02	13.23
2016-10-01	13.21
2016-09-30	13.24
2016-09-29	13.17
2016-09-28	13.3
2016-09-27	13.09
2016-09-26	12.89
2016-09-25	13.05
2016-09-24	12.91
2016-09-23	13.36
2016-09-22	13.11
2016-09-21	13.72
2016-09-20	14.72
2016-09-19	12.93
2016-09-18	12.39
2016-09-17	12.83
2016-09-16	12.61
2016-09-15	11.96
2016-09-14	11.97
2016-09-13	11.92
2016-09-12	11.89
2016-09-11	11.64
2016-09-10	12.05
