Date	ETHEREUM
2017-07-26	197.01
2017-07-25	203.79
2017-07-24	225.76
2017-07-23	228.34
2017-07-22	230.69
2017-07-21	217
2017-07-20	226.35
2017-07-19	194.14
2017-07-18	227
2017-07-17	190.73
2017-07-16	155.47
2017-07-15	168.42
2017-07-14	197.23
2017-07-13	204.99
2017-07-12	224.81
2017-07-11	190.61
2017-07-10	204.56
2017-07-09	237.67
2017-07-08	246.68
2017-07-07	241.19
2017-07-06	266.01
2017-07-05	265.98
2017-07-04	269
2017-07-03	276.37
2017-07-02	284.46
2017-07-01	262.52
2017-06-30	280.73
2017-06-29	292.98
2017-06-28	315.32
2017-06-27	287.24
2017-06-26	251.64
2017-06-25	278.4
2017-06-24	304.92
2017-06-23	326.96
2017-06-22	320.02
2017-06-21	326.73
2017-06-20	350.89
2017-06-19	358.71
2017-06-18	351.38
2017-06-17	368.99
2017-06-16	354.26
2017-06-15	343.73
2017-06-14	341.7
2017-06-13	387.99
2017-06-12	397.18
2017-06-11	343.03
2017-06-10	341.61
2017-06-09	279.39
2017-06-08	258.64
2017-06-07	255.99
2017-06-06	264.69
2017-06-05	247.98
2017-06-04	245.45
2017-06-03	224.95
2017-06-02	221.91
2017-06-01	222.03
2017-05-31	228.47
2017-05-30	228.59
2017-05-29	194.91
2017-05-28	175.53
2017-05-27	159.77
2017-05-26	163.81
2017-05-25	180.87
2017-05-24	193.03
2017-05-23	169.5
2017-05-22	160.39
2017-05-21	148
2017-05-20	123.06
2017-05-19	124.38
2017-05-18	95.88
2017-05-17	86.98
2017-05-16	87.8
2017-05-15	90.32
2017-05-14	88.72
2017-05-13	87.96
2017-05-12	85.15
2017-05-11	88.2
2017-05-10	87.83
2017-05-09	86.27
2017-05-08	88.39
2017-05-07	90.46
2017-05-06	94.82
2017-05-05	90.79
2017-05-04	94.55
2017-05-03	80.37
2017-05-02	77.25
2017-05-01	77.53
2017-04-30	79.83
2017-04-29	69.83
2017-04-28	72.42
2017-04-27	63.14
2017-04-26	53.28
2017-04-25	50.09
2017-04-24	49.94
2017-04-23	48.75
2017-04-22	48.41
2017-04-21	48.27
2017-04-20	49.36
2017-04-19	47.88
2017-04-18	49.88
2017-04-17	47.94
2017-04-16	48.22
2017-04-15	48.89
2017-04-14	47.32
2017-04-13	49.97
2017-04-12	46.38
2017-04-11	43.74
2017-04-10	43.74
2017-04-09	43.72
2017-04-08	44.37
2017-04-07	42.31
2017-04-06	43.23
2017-04-05	44.9
2017-04-04	44.43
2017-04-03	44.13
2017-04-02	48.55
2017-04-01	50.6
2017-03-31	49.91
2017-03-30	51.91
2017-03-29	53.07
2017-03-28	50.25
2017-03-27	49.06
2017-03-26	50.63
2017-03-25	50.62
2017-03-24	53.19
2017-03-23	43.2
2017-03-22	41.65
2017-03-21	42.67
2017-03-20	42.51
2017-03-19	43.12
2017-03-18	34
2017-03-17	44.48
2017-03-16	45.51
2017-03-15	35.18
2017-03-14	28.58
2017-03-13	28.45
2017-03-12	23.31
2017-03-11	21.45
2017-03-10	19.13
2017-03-09	17.71
2017-03-08	16.54
2017-03-07	18.91
2017-03-06	19.75
2017-03-05	19.22
2017-03-04	18.61
2017-03-03	19.48
2017-03-02	19.08
2017-03-01	17.55
2017-02-28	16.07
2017-02-27	15.55
2017-02-26	14.59
2017-02-25	13.57
2017-02-24	13.11
2017-02-23	13.13
2017-02-22	12.69
2017-02-21	12.77
2017-02-20	12.52
2017-02-19	12.82
2017-02-18	12.83
2017-02-17	12.72
2017-02-16	12.95
2017-02-15	12.97
2017-02-14	13
2017-02-13	11.39
2017-02-12	11.42
2017-02-11	11.43
2017-02-10	11.34
2017-02-09	10.94
2017-02-08	11.39
2017-02-07	11.45
2017-02-06	11.32
2017-02-05	11.22
2017-02-04	11.32
2017-02-03	10.95
2017-02-02	10.78
2017-02-01	10.71
2017-01-31	10.71
2017-01-30	10.62
2017-01-29	10.47
2017-01-28	10.54
2017-01-27	10.51
2017-01-26	10.65
